MMETSP.Strain,Doubling.Time,OGT,Source
Uronema sp. Bbcil,6,22,https://aem.asm.org/content/aem/71/8/4628.full.pdf
Grammatophora oceanica CCMP 410,24.46,20,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1399-3054.2008.01054.x?casa_token=n1GWF6CO-bQAAAAA:QIV22cZwI-VbZJmOZdmli34d3suYeUNxby10eUVZ-5XfQccbL-2wtZcx22sJX0VeiQM44HUECu6EIMw7
Corethron hystrix 308,61.22,14,https://www.biorxiv.org/content/10.1101/252668v1.full.pdf
Rhodosorus marinus CCMP 769,23.9,22,"https://link.springer.com/article/10.1007/BF00157076#:~:text=Summary,2%20g.l%2D1%20dry%20weight."
Hemiselmis andersenii CCMP644,17.33,25,"https://onlinelibrary.wiley.com/doi/10.1111/jpy.13042#:~:text=Growth%20and%20extraction%20yield,of%200.96%20%C2%B7%20d%E2%88%921."
Pyramimonas parkeae CCMP726,19.57,25,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.1989.tb00134.x?casa_token=TtpxBMyL1EoAAAAA:SQkbGXz6v2yYCWCjUKKq-QPt2eKCMWyTQsU0Q1Vnb-54N60yD6mUTfgPzxu6VS8n_qJ7bsn0jZCg0_cN
Chlamydomonas euryale CCMP219,119.68,20,https://www.tandfonline.com/doi/abs/10.1080/00071617700650171
Bigelowiella natans CCMP 2755,33.27,24,https://www.sciencedirect.com/science/article/pii/S0176161717301475
Guillardia theta CCMP 2712,34,18,https://academic.oup.com/jxb/article/66/20/6461/553934?login=true
Goniomonas pacifica CCMP1869,83.18,22,https://aem.asm.org/content/77/9/3074.short
Kryptoperidinium foliaceum CCMP 1326,100,19,https://www.sciencedirect.com/science/article/pii/S1434461009000029
Pseudo-nitzschia australis 10249 10 AB,17.7,15,https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1529-8817.2002.01054.x?casa_token=-aVq9BD1s7QAAAAA:jGd0ECuQSckXnyMNtsyMPpLDYBJ9HOdRNjR83hEgNOVIeFUf3dNCCUVVdhNOH-c1WbJcMrPcBDQuNvTN
"Symbiodinium kawagutii CCMP2468 (combined sample which includes MMETSP0132_2, MMETSP0133_2, MMETSP0134_2 and MMETSP0135_2)",29.19,27,https://www.frontiersin.org/articles/10.3389/fmicb.2016.00082/full
Rhodella maculata CCMP736,28.2,24,https://www.tandfonline.com/doi/full/10.1080/09670262.2010.501908
Strombidium inclinatum S3,4.78,,https://www.researchgate.net/profile/Fereidoun-Rassoulzadegan/publication/238238568_Growth_of_microzooplankton_a_comparative_study_of_bacti-vorous_zooXagellates_and_ciliates/links/5afd373daca272b5d8708833/Growth-of-microzooplankton-a-comparative-study-of-bacti-vorous-zooXagellates-and-ciliates.pdf
Thoracosphaera heimii CCCM 670 (=CCMP 1069),63.16,27,https://www.sciencedirect.com/science/article/pii/S037783980000013X?casa_token=rcTUgSg8E4cAAAAA:ry2RUKeR6qkTl5mYS_KGYBiA9ZH8muj1k1J445B6gEASClw4-VxYHZZAkQbHvWlxaKxAnGgj
Protoceratium reticulatum CCCM 535 (=CCMP 1889),87.56,15,https://epic.awi.de/id/eprint/36861/
Polarella glacialis CCMP 1383,36.97,4,https://www.sciencedirect.com/science/article/pii/S0022098112003334?casa_token=TQf1yeUFAbEAAAAA:SmBtLaQ2wO8NZCjUmUdb7sWDZmj9jgr5SvidS0miuhpKH6KVCaoQVQCNaw7gViWjzZjCRMuK
Prorocentrum lima CCMP 684,109.09,20,https://www.sciencedirect.com/science/article/pii/S1568988309001425?casa_token=qkOQDhyl_TYAAAAA:nNeK-PIfGM-a0aMKj7gT3jYmzmelyav_ZId7AmkiT6osmPWgEE_6QfjE1C--lzL012krji0u
Scrippsiella Hangoei SHTV-5,80,4,https://link.springer.com/article/10.1007/s00227-007-0652-x
Crypthecodinium cohnii WH (Provasly/Seligo),8,27,https://www.tandfonline.com/doi/abs/10.2216/i0031-8884-14-1-1.1
Pseudo-nitzschia arenysensis B593,11.09,20,https://www.tandfonline.com/doi/full/10.2216/08-21.1?casa_token=x9XVoUi5cGsAAAAA%3AG4cROHwWcwLw3x597og59qQDSxtSFPRVR_HMCZ5ZZ5EU2rmSkKpH43xT0gr5jJVyuT3dgNGN-xM
Peridinium aciculiferum PAER-2,46.21,7.7,https://onlinelibrary.wiley.com/doi/full/10.1111/fwb.12321?casa_token=FDYWGPoBFNwAAAAA%3AKO64oCcBTJ7TAOYcPYrRONtxzp890VTLRBTCc10nffJBj73xB7NOsP-qmOtcqxz-6w8kLUzS3S6TrQ
Amphidinium carterae CCMP1314 (combined sample which includes MMETSP0398 and MMETSP0399),57.36,20,https://www.sciencedirect.com/science/article/pii/S096085241630952X?casa_token=8ljJtbt8NdIAAAAA:r3M_aj7iP6tVZkC_hZ7ZpnElnEOW6K7EcfZSPvg-Z0mumqz3rl-rz65eJecVp6dYvO4-BbgA
Oxyrrhis marina CCMP1795 (combined sample which includes MMETSP0451_2 and MMETSP0452_2),13.86,25,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1550-7408.2005.00034.x?casa_token=4qIGlk7YfhcAAAAA%3Auk2pyD88YiGnU0AmN1XAcKf2460qzp4gCwLJ0BsNCbH-J_pOAaPV2HFOSZB5yBKW3EKKrYJFWvvdyg
Mesodinium pulex SPMC105,11.8,20,https://www.int-res.com/articles/ame2011/62/a062p025.pdf
Azadinium spinosum 3D9,36.16,22,https://www.sciencedirect.com/science/article/pii/S1568988313000826?casa_token=-qaUCZ2MliEAAAAA:u1ajqybgasrjDuZUXYCNk1_-ladH4M2BZVlFfwd-3cJj2-ONlUhb_JEM61anKytq5xaYdFR8
Hemiselmis andersenii CCMP439,27.73,20,https://onlinelibrary.wiley.com/doi/full/10.1111/jpy.12962?casa_token=F4Jczdfi4AcAAAAA%3A2JGvL3OogUzGaKbtE92oSHOq6e1bhNhzQGumYHKB_08CRX1yru5D-tT3hTFH20wJwUjK6kKqWxYIGA
Rhodomonas salina CCMP1319,13.86,21,https://www.jstor.org/stable/24842257
Hanusia phi CCMP325,19.34,20,https://www.int-res.com/abstracts/ame/v66/n1/p63-75/
Proteomonas sulcata CCMP704,18.28,20,https://www.int-res.com/abstracts/ame/v66/n1/p63-75/
Cryptomonas curvata CCAP979/52,31.58,19,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10066
Cyclotella meneghiniana CCMP 338,10.08,25,https://www.limnology-journal.org/articles/limn/abs/1997/04/limno19974p223/limno19974p223.html
Coscinodiscus wailesii CCMP2513,20,20,https://www.sciencedirect.com/science/article/pii/S1568988308000036?casa_token=MkCNmkCWX3wAAAAA:AnZ7PPs7nRFo6lvuwqa2FA6UCiGvSpxWK6qpPKmU3XbQuJs1rTPT8gsqqGXqgktTTbawGW7R
Minutocellus polymorphus NH13,13.9,19,https://www.jstor.org/stable/24816749?seq=1
Chrysochromulina ericina CCMP281,40.57,15,https://www.int-res.com/articles/meps2005/288/m288p021.pdf
Chattonella subsalsa CCMP2191,46.21,23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464504/
Ditylum brightwellii GSO104,12,18,https://www.degruyter.com/document/doi/10.1515/znc-1994-9-1011/html
Karlodinium micrum CCMP2283,32,20,https://academic.oup.com/plankt/article/28/8/737/1469860?login=true
Thalassiosira oceanica CCMP1005,10.02,20,https://www.sciencedirect.com/science/article/pii/030442039500035P
Proboscia inermis CCAP1064/1,47.53,20,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10578
Tetraselmis striata LANL1001,73.61,25.5,https://onlinelibrary.wiley.com/doi/full/10.1111/jpy.12286
Pelagomonas calceolata CCMP1756,33,20,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x?casa_token=kL18yxKQzWIAAAAA%3Awy1ASqxhskBhJ6wGUw6TYVveV8WCq_6O2xr4m_onAzU31apWGGVL4nt69Zzlyf47jgrNK-cCvP2VQA
Aureoumbra lagunensis CCMP1510,23.87,25,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037004500.x?casa_token=CGIpEzJreTEAAAAA%3A-Lvt9KVIgHmWSizbUyfWPQ1imMZz038xC6_UiYTO71WANbIqV35NUILp2AdVXxJ4lTlTYG9WY8yWsAA
Aureococcus anophagefferens CCMP1850,27.73,18,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0022-3646.1994.00800.x
Perkinsus chesapeaki ATCC PRA-65 (combined sample which includes MMETSP0924 and MMETSP0925),56,22,https://www.sciencedirect.com/science/article/pii/S0305049100002315?casa_token=sOTcKjPlT3gAAAAA:VMUEzmyxOCKkJrRy1PPUc8oRXDgV-c82FM2ZZOxF15hgJU2IKuwi5De0cj-xh8NgA62fvC2X
Ostreococcus lucimarinus clade-A-BCC118000,15.69,20,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10009
