#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
PNFGHFNJ_00001	1	630	136	630	100	19.3492	37.7	59.6
PNFGHFNJ_00002	1	1158	324	1158	100	35.1459	37.4	59.9
PNFGHFNJ_00003	1	1977	571	1977	100	32.5432	37.4	59.1
PNFGHFNJ_00004	1	984	246	984	100	28.4502	37.6	59.7
PNFGHFNJ_00005	1	1068	266	1068	100	27.3811	37.5	59.7
PNFGHFNJ_00006	1	996	218	996	100	29.4147	37.3	59.3
PNFGHFNJ_00007	1	918	265	918	100	32.7473	37.3	59.6
PNFGHFNJ_00008	1	1029	244	1029	100	25.9728	37.5	59.8
PNFGHFNJ_00009	1	807	150	807	100	24.5514	37.3	59.7
PNFGHFNJ_00010	1	600	168	600	100	29.8767	37.3	60
PNFGHFNJ_00011	1	354	101	354	100	36.3531	37.7	60
PNFGHFNJ_00012	1	282	105	282	100	21.7128	37.6	57.6
PNFGHFNJ_00013	1	771	184	771	100	32.2646	37.7	59.3
PNFGHFNJ_00014	1	912	238	912	100	32.9134	37.5	60
PNFGHFNJ_00015	1	666	142	666	100	25.7477	37.7	59.7
PNFGHFNJ_00016	1	1401	324	1401	100	24.4561	37.2	58.6
PNFGHFNJ_00017	1	1368	332	1368	100	27.367	37.6	59.6
PNFGHFNJ_00018	1	1452	330	1452	100	26.5379	37.2	59.4
PNFGHFNJ_00019	1	873	180	873	100	23.2875	37.2	59.2
PNFGHFNJ_00020	1	834	222	834	100	30.1415	37.5	59.9
PNFGHFNJ_00021	1	1311	254	1311	100	24.5584	36.9	59.4
PNFGHFNJ_00022	1	981	258	981	100	28.002	37.4	59.5
PNFGHFNJ_00023	1	432	115	432	100	35.2176	37.3	60
PNFGHFNJ_00024	1	654	152	654	100	24.9465	37.4	57.6
PNFGHFNJ_00025	1	1611	380	1611	100	30.9286	37.4	60
PNFGHFNJ_00026	1	165	60	165	100	19.5879	37.3	60
PNFGHFNJ_00027	1	1314	282	1314	100	24.3851	37.4	59.6
PNFGHFNJ_00028	1	771	189	771	100	26.9585	37.4	59.4
PNFGHFNJ_00029	1	1488	344	1488	100	22.6613	37.4	59.3
PNFGHFNJ_00030	1	906	209	906	100	27.3477	37.6	59.3
PNFGHFNJ_00031	1	459	165	459	100	39.4924	37.8	59
PNFGHFNJ_00032	1	606	169	606	100	27.3597	37.4	59.8
PNFGHFNJ_00033	1	744	206	744	100	30.1465	37.3	59.8
PNFGHFNJ_00034	1	345	52	345	100	18.8	37.6	60
PNFGHFNJ_00035	1	987	184	987	100	21.2199	37.7	60
PNFGHFNJ_00036	1	921	232	921	100	29.7058	37.5	59.9
PNFGHFNJ_00037	1	684	115	684	100	18.9225	37.6	60
PNFGHFNJ_00038	1	909	194	909	100	25.3817	37.6	59.1
